"Regulation","Gene","Dataset"
"Down","HYAL1","GSE19804"
"Down","DKK2","GSE19804"
"Down","EFEMP1","GSE19804"
"Down","AKAP12","GSE19804"
"Up","RGS17","GSE19804"
"Down","ITGA8","GSE19804"
"Up","FUT8","GSE19804"
"Up","CDCA7","GSE19804"
"Up","HMGB3","GSE19804"
"Down","CCL23","GSE19804"
"Down","PCOLCE2","GSE19804"
"Up","BUB1B","GSE19804"
"Down","EML1","GSE19804"
"Down","GPX3","GSE19804"
"Down","BMP2","GSE19804"
"Down","GZMH","GSE19804"
"Down","CYRIA","GSE19804"
"Down","TBX2","GSE19804"
"Down","RASSF2","GSE19804"
"Up","SEZ6L2","GSE19804"
"Up","SULF1","GSE19804"
"Up","ANLN","GSE19804"
"Down","WASF3","GSE19804"
"Up","ANKRD22","GSE19804"
"Down","FGR","GSE19804"
"Down","TCEAL2","GSE19804"
"Up","SMPDL3B","GSE19804"
"Down","LPL","GSE19804"
"Up","XDH","GSE19804"
"Down","KIAA0040","GSE19804"
"Down","SRPX","GSE19804"
"Down","HBB","GSE19804"
"Down","SCARA5","GSE19804"
"Up","FKBP11","GSE19804"
"Up","NUSAP1","GSE19804"
"Down","MAFF","GSE19804"
"Down","FAM13C","GSE19804"
"Down","GIMAP7","GSE19804"
"Down","NPNT","GSE19804"
"Up","KIF11","GSE19804"
"Down","ADAMTS1","GSE19804"
"Down","ZNF331","GSE19804"
"Down","AOX1","GSE19804"
"Up","MELK","GSE19804"
"Up","STIL","GSE19804"
"Down","ECRG4","GSE19804"
"Up","NQO1","GSE19804"
"Up","RRM2","GSE19804"
"Up","EPHX3","GSE19804"
"Down","PPP1R16B","GSE19804"
"Up","KIF4A","GSE19804"
"Down","FUT1","GSE19804"
"Down","LIFR","GSE19804"
"Down","AQP4","GSE19804"
"Down","LIMCH1","GSE19804"
"Up","FCGBP","GSE19804"
"Down","CFL2","GSE19804"
"Down","MEIS1","GSE19804"
"Down","FAT3","GSE19804"
"Up","TMEM106B","GSE19804"
"Up","SUSD4","GSE19804"
"Down","PEBP4","GSE19804"
"Down","ITPRIP","GSE19804"
"Down","FCN1","GSE19804"
"Up","TK1","GSE19804"
"Down","PLCXD3","GSE19804"
"Up","GALE","GSE19804"
"Down","TRPC6","GSE19804"
"Up","BLACAT1","GSE19804"
"Up","SOX4","GSE19804"
"Down","CALCRL","GSE19804"
"Up","COL5A1","GSE19804"
"Up","GSDMB","GSE19804"
"Down","MS4A15","GSE19804"
"Down","MAMDC2","GSE19804"
"Down","SLC46A2","GSE19804"
"Up","TENM4","GSE19804"
"Up","TPX2","GSE19804"
"Down","ADGRL4","GSE19804"
"Up","ORC6","GSE19804"
"Down","CDH13","GSE19804"
"Up","CAPN12","GSE19804"
"Down","BCHE","GSE19804"
"Down","PRICKLE2","GSE19804"
"Down","CXCL2","GSE19804"
"Down","CHRDL1","GSE19804"
"Down","IL33","GSE19804"
"Down","ACKR1","GSE19804"
"Down","CXCR2","GSE19804"
"Up","GREM1","GSE19804"
"Up","E2F8","GSE19804"
"Down","BTNL9","GSE19804"
"Down","GADD45B","GSE19804"
"Down","LILRB2","GSE19804"
"Down","SERPING1","GSE19804"
"Down","SCN7A","GSE19804"
"Down","UACA","GSE19804"
"Down","AQP1","GSE19804"
"Down","NDRG4","GSE19804"
"Up","LGSN","GSE19804"
"Up","LRRC31","GSE19804"
"Up","KCNN4","GSE19804"
"Down","HSPB8","GSE19804"
"Up","XPR1","GSE19804"
"Up","SRD5A3","GSE19804"
"Down","CLEC4E","GSE19804"
"Down","EGFL7","GSE19804"
"Down","OLFML1","GSE19804"
"Down","KDR","GSE19804"
"Up","SLC35F2","GSE19804"
"Up","COL5A2","GSE19804"
"Up","PSPH","GSE19804"
"Down","REEP1","GSE19804"
"Down","RAB11FIP1","GSE19804"
"Down","SMAD6","GSE19804"
"Up","KRT80","GSE19804"
"Down","TMCC3","GSE19804"
"Down","FOSB","GSE19804"
"Down","NDRG2","GSE19804"
"Up","EGF","GSE19804"
"Up","CD24","GSE19804"
"Up","AURKA","GSE19804"
"Down","LDLR","GSE19804"
"Down","GPRC5A","GSE19804"
"Down","ITGA1","GSE19804"
"Down","IL18R1","GSE19804"
"Down","RGS2","GSE19804"
"Down","MYH10","GSE19804"
"Down","ID4","GSE19804"
"Down","FCGR3B","GSE19804"
"Down","DNAJB4","GSE19804"
"Down","CARD16","GSE19804"
"Down","PF4","GSE19804"
"Down","C1QTNF7","GSE19804"
"Up","TYMS","GSE19804"
"Down","CGNL1","GSE19804"
"Down","CPB2","GSE19804"
"Up","NICOL1","GSE19804"
"Down","CCDC69","GSE19804"
"Up","STEAP3","GSE19804"
"Up","TRIM59","GSE19804"
"Down","CA3","GSE19804"
"Up","KRTCAP3","GSE19804"
"Up","KIF2C","GSE19804"
"Down","CAMK2N1","GSE19804"
"Down","TMEM139","GSE19804"
"Down","SFTPC","GSE19804"
"Down","FGF2","GSE19804"
"Down","SPARCL1","GSE19804"
"Up","ATP10B","GSE19804"
"Down","TIMP3","GSE19804"
"Down","VGLL3","GSE19804"
"Up","NCAPG","GSE19804"
"Up","CXCL14","GSE19804"
"Down","PMP22","GSE19804"
"Down","ZBTB16","GSE19804"
"Down","DPT","GSE19804"
"Up","SPAG5","GSE19804"
"Down","ZC3H12C","GSE19804"
"Down","IL6","GSE19804"
"Down","KLRC3","GSE19804"
"Up","F12","GSE19804"
"Down","MAP3K8","GSE19804"
"Up","UNC5CL","GSE19804"
"Down","BAALC","GSE19804"
"Up","MAP7D2","GSE19804"
"Down","HOXA5","GSE19804"
"Down","GZMB","GSE19804"
"Up","PRC1","GSE19804"
"Down","RARRES2","GSE19804"
"Down","SLCO2A1","GSE19804"
"Down","MMRN1","GSE19804"
"Up","SIX1","GSE19804"
"Up","CEP55","GSE19804"
"Down","FBLN5","GSE19804"
"Down","C7","GSE19804"
"Up","CP","GSE19804"
"Up","CEACAM1","GSE19804"
"Up","SPINK1","GSE19804"
"Down","ZFP36","GSE19804"
"Up","TTK","GSE19804"
"Down","CSF3R","GSE19804"
"Up","ARSL","GSE19804"
"Up","SHCBP1","GSE19804"
"Down","ADGRD1","GSE19804"
"Up","DONSON","GSE19804"
"Down","TUBB6","GSE19804"
"Up","LAPTM4B","GSE19804"
"Down","EGR1","GSE19804"
"Up","FERMT1","GSE19804"
"Down","FPR2","GSE19804"
"Down","SERTAD1","GSE19804"
"Down","PPBP","GSE19804"
"Up","PTTG1","GSE19804"
"Down","MSRB3","GSE19804"
"Down","S100A12","GSE19804"
"Down","CD274","GSE19804"
"Up","MXRA5","GSE19804"
"Up","CENPF","GSE19804"
"Up","IGFL2","GSE19804"
"Down","HEY1","GSE19804"
"Up","ADGRF1","GSE19804"
"Down","RETREG1","GSE19804"
"Up","CDKN3","GSE19804"
"Up","NUF2","GSE19804"
"Down","ABCA3","GSE19804"
"Down","ANXA3","GSE19804"
"Down","F8","GSE19804"
"Down","SYNPO2","GSE19804"
"Down","RBMS3","GSE19804"
"Down","MAOB","GSE19804"
"Down","SLC14A1","GSE19804"
"Down","CMTM2","GSE19804"
"Down","ABCG2","GSE19804"
"Up","BLNK","GSE19804"
"Down","NR4A2","GSE19804"
"Down","IL7R","GSE19804"
"Up","HJURP","GSE19804"
"Down","HACD1","GSE19804"
"Down","ARL13B","GSE19804"
"Up","SGPP2","GSE19804"
"Down","IL1RL1","GSE19804"
"Down","TPPP","GSE19804"
"Up","UGT8","GSE19804"
"Down","RADX","GSE19804"
"Up","TSPAN6","GSE19804"
"Down","C11orf96","GSE19804"
"Down","C1orf162","GSE19804"
"Down","CLEC12A","GSE19804"
"Down","SEMA3E","GSE19804"
"Up","BIRC5","GSE19804"
"Down","LRRK2","GSE19804"
"Down","PROS1","GSE19804"
"Down","OGN","GSE19804"
"Down","PTGDS","GSE19804"
"Down","SLC2A3","GSE19804"
"Up","FAP","GSE19804"
"Down","APOLD1","GSE19804"
"Up","AGR2","GSE19804"
"Up","CD1A","GSE19804"
"Up","STK31","GSE19804"
"Up","KIF14","GSE19804"
"Down","CXCL3","GSE19804"
"Down","SCEL","GSE19804"
"Down","KRT4","GSE19804"
"Down","ANK2","GSE19804"
"Up","NT5E","GSE19804"
"Up","FOXM1","GSE19804"
"Down","NPY1R","GSE19804"
"Up","MMP13","GSE19804"
"Up","MMP1","GSE19804"
"Down","PLAC8","GSE19804"
"Down","C5AR1","GSE19804"
"Up","CCNA2","GSE19804"
"Up","FHL2","GSE19804"
"Up","DNAJC12","GSE19804"
"Up","SLC12A8","GSE19804"
"Down","EOGT","GSE19804"
"Up","BIK","GSE19804"
"Down","B3GALNT1","GSE19804"
"Up","LRIG3","GSE19804"
"Up","CILP2","GSE19804"
"Down","PROK2","GSE19804"
"Down","SCNN1G","GSE19804"
"Down","IRF1","GSE19804"
"Down","SLC1A1","GSE19804"
"Up","LAMP5","GSE19804"
"Down","CYBRD1","GSE19804"
"Up","THY1","GSE19804"
"Up","ABCA4","GSE19804"
"Down","IL18RAP","GSE19804"
"Down","CCDC68","GSE19804"
"Up","COL1A2","GSE19804"
"Down","JUNB","GSE19804"
"Down","EPB41L3","GSE19804"
"Up","CDK1","GSE19804"
"Down","FAM43A","GSE19804"
"Down","RTN1","GSE19804"
"Up","NUP62CL","GSE19804"
"Down","PDE8B","GSE19804"
"Down","NDNF","GSE19804"
"Down","CCL4","GSE19804"
"Up","WFDC2","GSE19804"
"Up","CCNE1","GSE19804"
"Down","SLC22A4","GSE19804"
"Up","MMP7","GSE19804"
"Down","SCGB1A1","GSE19804"
"Up","GFRA3","GSE19804"
"Up","SFN","GSE19804"
"Up","AK4","GSE19804"
"Down","CX3CL1","GSE19804"
"Up","NDC80","GSE19804"
"Down","DUSP1","GSE19804"
"Down","SNTN","GSE19804"
"Down","RSPO3","GSE19804"
"Down","FLRT3","GSE19804"
"Up","RAP1GAP","GSE19804"
"Up","IGF2BP3","GSE19804"
"Up","PCP4","GSE19804"
"Down","MNDA","GSE19804"
"Down","CD52","GSE19804"
"Up","TMEM45B","GSE19804"
"Down","FLI1","GSE19804"
"Down","MS4A7","GSE19804"
"Down","S100A8","GSE19804"
"Down","GRAMD2A","GSE19804"
"Up","ADAM12","GSE19804"
"Down","TNFAIP3","GSE19804"
"Down","ID3","GSE19804"
"Up","PHLDA2","GSE19804"
"Up","SMIM31","GSE19804"
"Down","ATF3","GSE19804"
"Up","ECT2","GSE19804"
"Down","CD69","GSE19804"
"Down","PLCB4","GSE19804"
"Down","EMP1","GSE19804"
"Up","CD207","GSE19804"
"Up","CENPK","GSE19804"
"Up","EZH2","GSE19804"
"Down","ZNF423","GSE19804"
"Down","FAM216B","GSE19804"
"Up","GPX8","GSE19804"
"Down","ELAPOR2","GSE19804"
"Down","NFKBIZ","GSE19804"
"Down","NEXN","GSE19804"
"Down","NR4A3","GSE19804"
"Up","LEMD1","GSE19804"
"Down","ADAMTSL4","GSE19804"
"Down","RIPOR2","GSE19804"
"Down","PTGS2","GSE19804"
"Down","GATA6","GSE19804"
"Down","AQP9","GSE19804"
"Down","SGCE","GSE19804"
"Up","GALNT3","GSE19804"
"Down","ID1","GSE19804"
"Up","MFAP2","GSE19804"
"Down","NXF3","GSE19804"
"Up","PLAU","GSE19804"
"Up","EEF1A2","GSE19804"
"Down","RBP4","GSE19804"
"Down","SOCS3","GSE19804"
"Down","HSPB6","GSE19804"
"Down","MICU3","GSE19804"
"Down","VSIG4","GSE19804"
"Down","EGR3","GSE19804"
"Down","HOATZ","GSE19804"
"Up","PLOD2","GSE19804"
"Down","DEPP1","GSE19804"
"Up","ECM1","GSE19804"
"Down","OSR1","GSE19804"
"Down","NAP1L5","GSE19804"
"Up","CEACAM5","GSE19804"
"Down","CATSPERD","GSE19804"
"Down","TLR8","GSE19804"
"Up","PPP1R14D","GSE19804"
"Up","DEPDC7","GSE19804"
"Up","PBK","GSE19804"
"Up","CLTRN","GSE19804"
"Up","SFRP4","GSE19804"
"Down","GPR65","GSE19804"
"Down","ADGRG6","GSE19804"
"Down","SFTPD","GSE19804"
"Up","ACE2","GSE19804"
"Down","NTN4","GSE19804"
"Down","SYNC","GSE19804"
"Up","KISS1R","GSE19804"
"Up","XKRX","GSE19804"
"Down","TCEAL7","GSE19804"
"Down","FOS","GSE19804"
"Up","FNDC1","GSE19804"
"Down","G0S2","GSE19804"
"Up","KCNK1","GSE19804"
"Up","CLEC5A","GSE19804"
"Up","EPCAM","GSE19804"
"Up","MACC1","GSE19804"
"Down","RND3","GSE19804"
"Down","CCN1","GSE19804"
"Down","FAM241A","GSE19804"
"Down","CIMIP1","GSE19804"
"Down","CACNA2D2","GSE19804"
"Up","ACAD8","GSE19804"
"Down","LRRC70","GSE19804"
"Down","TMSB15A","GSE19804"
"Down","CX3CR1","GSE19804"
"Down","F3","GSE19804"
"Down","P2RY13","GSE19804"
"Up","KRT15","GSE19804"
"Down","CSF2RB","GSE19804"
"Up","SOX9","GSE19804"
"Down","CAT","GSE19804"
"Up","EGLN3","GSE19804"
"Down","CSF3","GSE19804"
"Up","CRYM","GSE19804"
"Down","NFIL3","GSE19804"
"Down","PLPP3","GSE19804"
"Up","S100A2","GSE19804"
"Up","CFB","GSE19804"
"Down","SPMIP6","GSE19804"
"Down","AGTR2","GSE19804"
"Down","FOXF2","GSE19804"
"Down","RGS18","GSE19804"
"Down","LRCH2","GSE19804"
"Down","CYP4B1","GSE19804"
"Up","SULT1C2","GSE19804"
"Down","CCL21","GSE19804"
"Up","NELL1","GSE19804"
"Up","TMIGD3","GSE19804"
"Up","AOC1","GSE19804"
"Up","DPP4","GSE19804"
"Down","APOBEC3A","GSE19804"
"Down","EGR2","GSE19804"
"Down","DYNLRB2","GSE19804"
"Down","VNN2","GSE19804"
"Up","GRB14","GSE19804"
"Down","HSD11B1","GSE19804"
"Down","OLR1","GSE19804"
"Up","C2CD4A","GSE19804"
"Down","TPPP3","GSE19804"
"Up","PKIB","GSE19804"
"Up","TM4SF4","GSE19804"
"Down","PLLP","GSE19804"
"Up","GDF15","GSE19804"
"Up","IGFBP3","GSE19804"
"Up","CLDN3","GSE19804"
"Up","CRLF1","GSE19804"
"Up","CLIC6","GSE19804"
"Up","MB","GSE19804"
"Down","MORN5","GSE19804"
"Down","CHI3L2","GSE19804"
