"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"CACNA2D2",-3.34700261231785,8.09742139008363,-18.7543953124097,3.24914081399e-33,6.49645112611297e-31,65.1864827522785,"Down"
"MMP28",-1.60437867959023,6.51638310778407,-18.6826059415786,4.30146437897056e-33,8.48105393387028e-31,64.9072761914373,"Down"
"TMEM100",-4.964774888955,7.82756530354842,-18.614047572945,5.6264877632667e-33,1.09415918201827e-30,64.6400316948125,"Down"
"ANKRD29",-3.01875022852259,6.24796372022817,-18.607846078995,5.76499352993414e-33,1.10594389393169e-30,64.615828770847,"Down"
"HMMR",2.45713878151117,5.69223961711603,18.5354714492552,7.65964669997601e-33,1.44981792737146e-30,64.3330103251942,"Up"
"FEN1",1.94987178358867,5.93012292630953,18.4927608232371,9.06084719389821e-33,1.6924708784813e-30,64.1658003660711,"Up"
"GLDN",-3.08109493195028,6.91716924257526,-18.4776968630395,9.61446364475398e-33,1.77255747923283e-30,64.1067708494251,"Down"
"PPP1R14A",-2.79897428467706,6.75518915618967,-18.4614455023183,1.02500315203492e-32,1.86550573670355e-30,64.043056292981,"Down"
"KIF14",2.24342934643556,5.00401043604056,18.4461825434036,1.08854772776716e-32,1.9560789295421e-30,63.9831864816855,"Up"
"TTK",3.2912533301659,5.49691720865424,18.4080350894119,1.26529252835847e-32,2.24526159157211e-30,63.8334223292743,"Up"
"DENND3",-1.54365036841868,6.47856076390122,-18.3904700013913,1.35614097160501e-32,2.37676262134626e-30,63.7644012499876,"Down"
"CA4",-3.37462689138801,6.60165001502768,-18.3764115426033,1.43356990308512e-32,2.48182418831664e-30,63.7091311891143,"Down"
"ECT2",2.95668197317392,6.84032907668048,18.2925532334977,1.9974674649046e-32,3.40683710865539e-30,63.3789275274427,"Up"
"PCLAF",3.18122553973875,7.06794969864508,18.2902367142707,2.01587994594994e-32,3.40683710865539e-30,63.369793279402,"Up"
"SHMT2",1.75439279243171,8.06082376823173,18.2817544553993,2.08477211353598e-32,3.48181469691256e-30,63.3363411529186,"Up"
"STX11",-2.3337837235205,6.03654650829331,-18.2705837486586,2.1791342039397e-32,3.5970917626893e-30,63.2922724858784,"Down"
"FHL1",-3.2256142504425,7.83068684475251,-18.2440470269691,2.42092940922374e-32,3.9502889532575e-30,63.1875211769661,"Down"
"WWC2",-2.23547240482724,6.65131184577683,-18.2379362988045,2.48033664589186e-32,4.00123398012282e-30,63.1633869866167,"Down"
"PGM5",-1.2116789425805,5.69148788565146,-18.2097472880252,2.77399151505443e-32,4.42467230873177e-30,63.0519937890895,"Down"
"RAMP3",-2.72968060452437,7.84007076304011,-18.1968942541235,2.91928495659614e-32,4.5573874276715e-30,63.00116959957,"Down"
"MAMDC2",-3.94715011632026,6.72862410782303,-18.1967117615646,2.92140219722532e-32,4.5573874276715e-30,63.0004478263179,"Down"
"KIF11",2.9330766011722,5.32683760315883,18.1685196178909,3.2677897568102e-32,5.04234167257365e-30,62.8888947923652,"Up"
"JAML",-2.34955568510868,7.65373778572865,-18.1493708164942,3.5264000937312e-32,5.38287911081807e-30,62.8130676712069,"Down"
"RACGAP1",1.9219803635803,9.11097956631239,18.1347111283377,3.73824725122914e-32,5.64554872111158e-30,62.754985466936,"Up"
"CENPE",2.206815940911,5.25757407944396,18.1200890952921,3.96233304278011e-32,5.92097682897962e-30,62.6970252575264,"Up"
"VEPH1",-2.00384174904369,5.52231345845458,-18.1005072548248,4.2837890418184e-32,6.33465304558897e-30,62.6193623342193,"Down"
"COX4I2",-1.8679329333787,7.56184111128674,-18.0899763546075,4.46740579704128e-32,6.53807141183485e-30,62.5775759068029,"Down"
"PLA2G1B",-3.38543812783213,6.54348076887069,-18.0777944809309,4.68972963301593e-32,6.79340835411165e-30,62.5292208562831,"Down"
"CD36",-3.4855472766941,7.20647338710141,-18.047824146705,5.28535834061379e-32,7.57888353569225e-30,62.410175484285,"Down"
"EFNA4",1.78815558552262,6.91248898724085,18.0151776289061,6.02134189088549e-32,8.54789694830105e-30,62.2803699696778,"Up"
"LIMS2",-2.08780350194977,7.31794284843822,-17.9758665734571,7.04607465219593e-32,9.90357185768053e-30,62.1238855743137,"Down"
